{35, 453}
{470, 863}
{36, 996}
{40, 692}
{587, 475}
{445, 535}
{848, 87}
{649, 926}
{660, 79}
{825, 415}
{874, 870}
{444, 846}
{610, 82}
{160, 689}
{560, 700}
{297, 693}
{59, 422}
{481, 247}
{768, 56}
{194, 565}
{529, 171}
{381, 39}
{41, 338}
{116, 324}
{824, 876}
{892, 317}
{747, 70}
{48, 596}
{660, 199}
{987, 261}
{8, 13}
{264, 212}
{945, 699}
{978, 259}
{323, 292}
{2, 634}
{648, 309}
{221, 285}
{816, 937}
{157, 670}
{182, 319}
{865, 238}
{113, 678}
{948, 863}
{274, 491}
{610, 270}
{853, 21}
{85, 327}
{632, 494}
{794, 335}
{401, 996}
{738, 853}
{504, 440}
{54, 823}
{596, 238}
{916, 79}
{985, 449}
{310, 111}
{787, 387}
{674, 750}
{737, 204}
{264, 396}
{88, 30}
{482, 741}
{456, 247}
{656, 55}
{597, 133}
{24, 854}
{65, 14}
{451, 855}
{824, 591}
{121, 227}
{458, 86}
{381, 566}
{545, 910}
{502, 735}
{603, 435}
{965, 654}
{533, 973}
{100, 429}
{485, 557}
{665, 453}
{792, 307}
{486, 111}
{584, 70}
{328, 936}
{713, 995}
{889, 316}
{420, 151}
{338, 735}
{817, 91}
{568, 764}
{66, 988}
{760, 818}
{682, 319}
{242, 19}
{44, 678}
{829, 839}
{352, 1}
{597, 7}
{849, 470}
{625, 549}
{218, 251}
{953, 138}
{240, 856}
{197, 910}
{772, 70}
{147, 700}
{874, 767}
{912, 514}
{667, 645}
{706, 514}
{891, 156}
{936, 113}
{643, 364}
{628, 814}
{307, 415}
{948, 820}
{17, 373}
{484, 670}
{778, 196}
{705, 703}
{915, 774}
{256, 554}
{833, 475}
{602, 214}
{161, 195}
{82, 324}
{11, 68}
{921, 303}
{198, 551}
{127, 959}
{73, 923}
{667, 397}
{560, 743}
{794, 229}
{20, 461}
{225, 239}
{908, 678}
{464, 393}
{945, 445}
{352, 765}
{138, 339}
{841, 606}
{561, 714}
{34, 965}
{418, 470}
{785, 850}
{529, 281}
{225, 778}
{280, 779}
{388, 821}
{146, 991}
{493, 63}
{211, 127}
{635, 948}
{243, 565}
{720, 711}
{907, 365}
{440, 630}
{846, 830}
{593, 5}
{18, 343}
{364, 303}
{833, 324}
{64, 823}
{884, 599}
{929, 646}
{641, 971}
{937, 449}
{128, 328}
{577, 270}
{41, 302}
{248, 386}
{374, 15}
{964, 997}
{216, 402}
{552, 224}
{939, 884}
{760, 70}
{283, 21}
{284, 341}
{741, 591}
{495, 175}
{32, 932}
{818, 884}
{498, 805}
{812, 469}
{43, 565}
{908, 613}
{588, 895}
{336, 760}
{474, 475}
{117, 647}
{473, 91}
{640, 739}
{296, 693}
{737, 83}
{983, 39}
{200, 944}
{664, 766}
{906, 893}
{504, 89}
{433, 973}
{824, 569}
{221, 149}
{774, 847}
{357, 382}
{1, 131}
{627, 223}
{816, 540}
{744, 509}
{859, 583}
{705, 109}
{25, 486}
{857, 774}
{26, 535}
{233, 230}
{238, 871}
{66, 226}
{833, 260}
{56, 97}
{196, 493}
{620, 445}
{243, 965}
{883, 659}
{506, 13}
{373, 455}
{976, 673}
{200, 132}
{473, 733}
{509, 205}
{819, 723}
{635, 59}
{184, 246}
{168, 538}
{996, 750}
{965, 351}
{187, 422}
{784, 749}
{257, 997}
{851, 118}
{444, 998}
{659, 147}
{58, 119}
{859, 604}
{104, 333}
{260, 926}
{248, 324}
{933, 262}
{285, 245}
{945, 250}
{505, 622}
{849, 605}
{201, 622}
{873, 838}
{768, 746}
{985, 445}
{75, 365}
{911, 855}
{981, 127}
{753, 997}
{593, 15}
{769, 148}
{88, 268}
{524, 469}
{392, 63}
{335, 431}
{337, 460}
{864, 828}
{530, 191}
{412, 892}
{778, 694}
{626, 647}
{185, 539}
{914, 875}
{592, 383}
{376, 74}
{864, 158}
{125, 102}
{360, 950}
{563, 75}
{817, 522}
{72, 568}
{113, 482}
{974, 614}
{81, 164}
{224, 873}
{273, 159}
{978, 275}
{497, 41}
{409, 20}
{872, 611}
{249, 78}
